Key,label questions
1,"A parent, despite having sufficient means, neglects or refuses to maintain their adult offspring who is disabled and unable to support themselves. If an application is filed for maintenance, discuss the factors the Magistrate would take into consideration while determining the monthly allowance for the disabled adult offspring. Additionally, explore the conditions under which the Magistrate may or may not make an order for maintenance in the case of a non-marital disabled adult offspring, and what evidence is required to establish parentage in such situations"
2,"Explain the circumstances under which an order for maintenance allowance, issued under this Act, loses its force and validity,after the person in respect of whom the order is made ceases to be a child."
3,"Who are the eligible applicants for making an application for maintenance, and what are the specific conditions for each category, including maintenance for a child, disabled offspring, adult offspring, and a spouse?"
4,"Describe the jurisdictional requirement outlined in the maintenance law for filing an application. Explain the criteria based on the residence of the applicant, the person in respect of whom the application is made or the person against whom such application is made, resides whom the application is filed, and identify the appropriate Court to which such an application should be submitted."
5,"What legal measures does a Magistrate have at their disposal for enforcing compliance with an order of maintenance? Explain the consequences for a person who neglects to comply with the maintenance order, and describe the authority of the Magistrate to issue a warrant for levying the amount in default before resorting to the imposition of imprisonment."
6,"Explain the legal provisions and procedures outlined in the maintenance law regarding the attachment of salary orders as a means of enforcing compliance with maintenance obligations. Describe the conditions under which a Magistrate can issue such an order, the considerations involved in determining the amount to be deducted from the respondent's salary, and the consequences for the employer if they fail or neglect to comply with an attachment of salary order."
7,"Describe the provisions outlined in the maintenance law regarding the deposit of maintenance payments under an order. Explain the authority of the Magistrate to direct the respondent to deposit the amount due each month at a specified post office or bank, and the process by which the person entitled to receive the payment can withdraw the deposited amount. Additionally, discuss the consequences for the respondent in the event of default in the deposit of payments and the actions that the Magistrate may take to address such defaults."
8,"Explain the provisions in the maintenance law concerning the cancellation or alteration of orders for maintenance allowances. Under what circumstances can a person receiving or ordered to pay a monthly allowance apply for such changes, and what factors does the Magistrate consider in making alterations to the allowance ordered? Additionally, discuss the effective date of cancellation or alteration and the circumstances under which the Magistrate may order a different effective date, providing reasons for such a decision."
9,"Who is entitled to receive a copy of the order of maintenance certified under the hand of the Magistrate without payment? Why is the person to whom the allowance is to be paid, and the Court making such order or any Magistrate having jurisdiction over the place where any such person or the respondent may be, shall, on the production of such order and on being satisfied as to the identity of the parties and the non-payment of the allowance due"
10,"What are the requirements for submitting an application for an order of maintenance or to enforce such an order? Explain the necessary characteristics of the written application, including the signature and absence of stamp duty. Additionally, clarify the stipulations regarding summonses to a respondent or witness, emphasizing the exemption from stamp duty."
11,"Explain the procedural requirements for an application for an order of maintenance or to enforce such an order. Discuss the necessity of supporting the application with an affidavit stating the relevant facts and the subsequent issuance of a summons by the Magistrate. Additionally, elaborate on the Magistrate's discretionary power to make an interim order for monthly allowance and the conditions under which such an order remains operative until a final order is made, varied, or revoked. Lastly, clarify the Magistrate's role in conducting an inquiry and making an order, and highlight the provision stating that an application shall not be rejected due to errors or irregularities unless they cause material prejudice to a party"
12,"Explain the procedures outlined for compelling the attendance of the person against whom the application is made, as well as any individuals required to give evidence or produce necessary documents for the inquiry. where would the Magistrate may invoke for such purposes. Additionally, elaborate when the person against whom the application is made is absent."
13,"Explain the procedures for recording evidence by a Magistrate in proceedings related to maintenance orders. Specify the conditions under which evidence is to be taken in the presence of the person against whom the application is made or their attorney. Discuss the prescribed manner for recording evidence, emphasizing any exceptions such as the absence of the need to frame a charge or record statements Furthermore, explain the competency of the person against whom the application is made to give evidence, and the provision allowing each spouse to be a competent witness against the other spouse in proceedings."
14,"Explain the procedures for appealing an order made by a Magistrate. Describe the relevant High Court's jurisdiction and the applicable provisions to such appeals. Explain the conditions under which an order may or may not be stayed pending an appeal, and the provision for the Magistrate to retain a copy of the order for enforcement purposes. Outline the process for further appeal to the Supreme Court, including the requirement for leave from the High Court and, if refused, the possibility of seeking special leave from the Supreme Court."
15,Explain the requirement for using specified forms for various purposes as outlined in the law. Describe the significance of these forms and how variations may be applied based on the circumstances of a particular case.
16,"Explain the authority of a court when disposing of an application or appeal. Explain the circumstances under which a court may order either party to pay costs, specifying whether it applies to application costs, appeal costs, or both. Furthermore, detail the mechanism for the recovery of the amount due under such an order, treating it as if it were a fine, and highlight the consequences, including the potential imposition of simple imprisonment for a period not exceeding one month in case of default in payment."
17,"clarify the relationship between the Act and an individual's right to maintain a civil action for maintenance. Discuss the scope of the law and explain whether it limits or preserves the right of a person, including a child, adult offspring, disabled offspring, spouse, or parent, to pursue a civil action for maintenance."
18,"What the changes made to the Married Women Property Ordinance. Specifically, discuss the impact of repealing sections of that Ordinance and how this amendment modifies the existing legal framework concerning the property rights of married women."
19,"How is the maintenance ordinance repealed? how orders made under the Maintenance Ordinance, pending on the day preceding the commencement of the new Act, will be regarded and enforced under the new legislative framework."
20,"Considering the language provisions in the maintenance act, what is the solution in case of any inconsistency between the Sinhala and Tamil texts of the Act. Clarify which text will prevail in such circumstances and the implications of this provision for the interpretation and application of the law."
21,"Define the terms ""adopted,"" ""adult offspring,"" ""child,"" and ""disabled offspring"" as outlined in the Act. Clarify the distinctions between ""marital"" and ""non-marital"" in relation to a child or offspring. Elaborate on the inclusive definition of ""parent,"" particularly highlighting the incorporation of adoptive parents. Lastly, discuss the broad interpretation of the term ""salary"" under the Act and its coverage, encompassing allowances and wages."
22,"In a recent criminal case, a victim of a sexual offense is struggling with emotional distress and wishes to exercise the rights outlined in the law. The victim is particularly concerned about ensuring a fair and respectful treatment throughout the legal process. What are the steps the victim can take to enforce their rights, as listed in the law, especially considering the sensitive nature of the case. How does the legal framework address the victim's right to prompt, adequate, and fair redress, and what measures are in place to protect the victim from potential threats or intimidation during the proceedings? Additionally, discuss the significance of treating child victims and female victims requiring medical examination in a manner that ensures their best interests and respects their dignity and privacy."
23,"In a recent case involving a sexual offense, a female victim feels uncomfortable with the idea of being examined by a male medical professional. The victim is aware of her right to request a female medical professional under the law. However, she is unsure about the process and how the State ensures the fulfillment of such requests. Explain the steps the victim should take to make the request for a female medical professional. How does the law ensure that the State makes all endeavors to fulfill the victim's request, and what measures are in place to address such preferences in the context of the medical examination? Additionally, discuss the significance of this provision in promoting the well-being and comfort of victims in sensitive situations."
24,"Explain the information that a victim of crime can request, including details on measures of protection, legal remedies, and timeframes for legal action. Additionally, elaborate on the role of the Authority or Protection Division in providing information about medical services, social services, and other assistance available for the treatment of harm caused to the victim of crime, along with the availability of related facilities."
25,"In a recent criminal case, a victim of a serious offense feels compelled to actively participate in the legal process and express the impact of the crime on their life. The victim is uncertain about the steps they can take to exercise their rights under the law. Describe the process the victim can follow to make a complaint, especially focusing on the recording and investigation of the complaint according to the law. Additionally, explain the rights of the victim during ongoing investigations, including their ability to make representations in person or through an attorney. How can the victim submit a statement, and what role does the Authority play in providing relevant information and assistance to facilitate the victim's participation in the legal proceedings?"
26,"Discuss the rights conferred upon a victim of crime regarding information disclosure under the specified circumstances outlined in the law. Explain the role of the officer-in-charge of the relevant police station and other authorities involved in the investigation or inquiry process. Elaborate on the information a victim of crime is entitled to, including the progress of the investigation, dates fixed for case hearings, and details related to judicial proceedings. Highlight the provisions for notifying the victim about critical events such as release on bail, institution of criminal proceedings, convictions, acquittals, sentences, and release from prison."
