utterance,response,feedback,confidence
hey,"hey
Hey!",1,0.183450788
what are the traffic laws,"Here are the top 3 relevant laws based on your query:

> A traffic sign consisting of a line or mark on a road, for conveying to traffic on roads, a warning, a requirement or information.

> (1) Police Officers on traffic duty may use Traffic Control Devices or Arm Signals for the purpose of conveying to traffic on a specified road, a requirement or a warning that must be followed by the drivers of vehicles thereon.
 (2) Traffic Control Signals given by direction indicator signals are used to indicate to other road users of the intention of a driver to make certain manoeuvres.

> In terms of the Convention the following instructions shall also be in operation in connection with the use of the Signs, Signals, Symbols and Road Markings as are specified in these regulations :",1,0.508387547
what are the civil laws,"Here are the top 3 relevant laws based on your query:

> In the event of any inconsistency between the Sinhala and Tamil texts of this Act, the Sinhala text shall prevail. Civil Procedure Code (Amendment) Act, No. 20 of 2023

> Protection to be provided by law enforcement authorities and public officers
 (1) Where any law enforcement authority or public officer has reasonable grounds to believe that a victim of crime or witness requires protection from any possible injury, intimidation, reprisal or retaliation in attending and participating in any proceedings under any law, such law enforcement authority or the public officer shall forthwith issue a communication to that effect to the Authority or to the Protection Division.
 (2)  The provisions of sections 29, 30 and 31 shall apply to and in respect of providing protection in relation to any matter referred to in subsection (1).

> (1) Where a court recovers any amount as compensation from a convicted person under section 61, such court shall remit twenty per centum of the money so recovered to the Protection Fund, and the balance amount shall be paid to the victim of crime, his next of kin, dependents, or heirs as the case may be.
(2) The receipt of compensation by a victim of crime under this section shall not prejudice the right of such victim of crime to claim any damages in any civil proceedings, provided that when determining the quantum of damages to be awarded, such civil court may take into consideration the compensation already received by such victim of crime under this section.",-1,0.362070873
hey,"hey
Hey!",1,0.183450788
what are the traffic laws,"Here are the top 3 relevant laws based on your query:

> A traffic sign consisting of a line or mark on a road, for conveying to traffic on roads, a warning, a requirement or information.

> (1) Police Officers on traffic duty may use Traffic Control Devices or Arm Signals for the purpose of conveying to traffic on a specified road, a requirement or a warning that must be followed by the drivers of vehicles thereon.
 (2) Traffic Control Signals given by direction indicator signals are used to indicate to other road users of the intention of a driver to make certain manoeuvres.

> In terms of the Convention the following instructions shall also be in operation in connection with the use of the Signs, Signals, Symbols and Road Markings as are specified in these regulations :",1,0
hello,"hello
Hey!",0,0.129790843
what are the criminal laws,"Here are the top 3 relevant laws based on your query:

> Protection to be provided by law enforcement authorities and public officers
 (1) Where any law enforcement authority or public officer has reasonable grounds to believe that a victim of crime or witness requires protection from any possible injury, intimidation, reprisal or retaliation in attending and participating in any proceedings under any law, such law enforcement authority or the public officer shall forthwith issue a communication to that effect to the Authority or to the Protection Division.
 (2)  The provisions of sections 29, 30 and 31 shall apply to and in respect of providing protection in relation to any matter referred to in subsection (1).

> (1) Parliament shall not abdicate or in any manner alienate its legislative power and shall not set up any authority with any legislative power.
(2) It shall not be a contravention of the provisions of paragraph (1) of this Article for Parliament to make, in any law relating to public security, provision empowering the President to make emergency regulations in accordance with such law.
(3) It shall not be a contravention of the provisions of paragraph (1) of this Article for Parliament to make any law containing any provision empowering any person or body to make subordinate legislation for prescribed purposes, including the power –
(a) to appoint a date on which any law or any part thereof shall come into effect or cease to have effect;
(b) to make by order any law or any part thereof applicable to any locality or to any class of persons; and
(c) to create a legal person, by an order or an Act.
in sub
paragraphs (a) and (b) of this paragraph, 
“law” includes existing law.
(4) Any existing law containing any such provision as aforesaid shall be valid and operative.
",1,0.447013286
what are the maintainance laws,"Here are the top 3 relevant laws based on your query:

> The Authority shall maintain confidentiality with regard to the information relating to victims of crime and witnesses contained in the Victim Information Register and shall not share any such information except as required by law.

> The President shall be responsible to Parliament for the due exercise, performance and discharge of his powers, duties and functions under the Constitution and any written law, including the law for the time being relating to public security.

> (1) Parliament shall not abdicate or in any manner alienate its legislative power and shall not set up any authority with any legislative power.
(2) It shall not be a contravention of the provisions of paragraph (1) of this Article for Parliament to make, in any law relating to public security, provision empowering the President to make emergency regulations in accordance with such law.
(3) It shall not be a contravention of the provisions of paragraph (1) of this Article for Parliament to make any law containing any provision empowering any person or body to make subordinate legislation for prescribed purposes, including the power –
(a) to appoint a date on which any law or any part thereof shall come into effect or cease to have effect;
(b) to make by order any law or any part thereof applicable to any locality or to any class of persons; and
(c) to create a legal person, by an order or an Act.
in sub",1,0.363735439
hello,"hello
Hey!",1,0.129790843
what are the traffic laws,"Here are the top 3 relevant laws based on your query:

> A traffic sign consisting of a line or mark on a road, for conveying to traffic on roads, a warning, a requirement or information.

> (1) Police Officers on traffic duty may use Traffic Control Devices or Arm Signals for the purpose of conveying to traffic on a specified road, a requirement or a warning that must be followed by the drivers of vehicles thereon.
 (2) Traffic Control Signals given by direction indicator signals are used to indicate to other road users of the intention of a driver to make certain manoeuvres.

> In terms of the Convention the following instructions shall also be in operation in connection with the use of the Signs, Signals, Symbols and Road Markings as are specified in these regulations :",1,0
