Key,Law,Domain,Law_Summary,,,,,,,,,,,,,,,,,,,,,,
1,"(1) Where any person having sufficient means, neglects or unreasonably refuses to maintain such person's spouse who is unable to maintain himself or herself, the Magistrate may, upon an application being made for maintenance and upon proof of such neglect or unreasonable refusal, order such person to make a monthly allowance for the maintenance of such spouse at such monthly rate as the Magistrate thinks fit, having regard to the income of such 'person and the means and circumstances of such spouse : Provided however, that no such order shall be made if the applicant spouse is living in adultery or both the spouses are living separately by mutual consent.
(2) Where a parent having sufficient means neglects or refuses to maintain his or her child who is unable to maintain himself or herself, the Magistrate may upon an application being made for maintenance and upon proof of such neglect or refusal, order such parent to make a monthly allowance for the maintenance of such child at such monthly rate as the Magistrate thinks fit, having regard to the income of the parents and the means and circumstances of the child. Order for Maintenance of a spouse or child or adult offspring or disabled offspring.
Provided however, that no such order shall be made in the case of a non-marital child unless parentage is established by cogent evidence to the satisfaction of the Magistrate.
(3) Where a parent having sufficient means neglects or refuses to maintain his or her adult offspring who is unable to maintain himself or herself, the Magistrate may upon an application being made for maintenance and upon proof of such neglect or refusal, order such parent to make a monthly allowance for the Maintenance of such adult offspring at such monthly rate as the Magistrate thinks fit, having regard to the income of the parents and the means and circumstances of the adult offspring. Provided however, that no such order shall be made in the case of an non-marital adult offspring unless parentage is established by cogent evidence to the satisfaction of the Magistrate.
(4) where a parent having sufficient means neglects or refuses to maintain his or her disabled offspring who is unable to maintain himself or herself, the Magistrate may upon an application being made for maintenance and upon proof of such neglect or refusal, order such parent to make a monthly allowance for the maintenance of such disabled offspring at such monthly rate as the Magistrate thinks fit, having regard to the income of the parents and the means and circumstances of the disabled offspring. Provided however, that no such order shall be made in the case of a disabled non-marital offspring unless parentage is established by cogent evidence to the satisfaction of the Magistrate.
(5) Where an order is made by a Magistrate for the payment of an allowance pursuant to an application made under subsection (1) or (2) or (3) or (4), such allowance shall be payable from the date on which the application for maintenance was made to such court, unless the Magistrate, for good reasons to be recorded, orders payment from any other date.
(6) Where an application is made for the maintenance of a child, adult offspring or disabled offspring, as the case may be under subsection (2), (3) or (4), as the case may be, the court may, either on the application of the parties or of its own motion, add the other parent as a party to such application and make such order as is appropriate against one or both such parents.",Maintenance,"If an individual with sufficient means neglects or unreasonably refuses to support their spouse, child, adult offspring, or disabled offspring who is unable to support themselves, a Magistrate may order them to provide a monthly allowance. The allowance is determined based on the Magistrate's discretion, considering the individual's income and circumstances. However, no such order will be made if the applicant spouse is living in adultery or if both spouses are living separately by mutual consent. Additionally, parentage must be established with cogent evidence for non-marital children or adult offspring. The Magistrate may also add the other parent as a party to the application and make appropriate orders against one or both parents. The maintenance allowance is payable from the date of the application unless the Magistrate orders otherwise for valid reasons.
word count in this summary",,,,,,,,,,,,,,,,,,,,,,
2,"No Order for an allowance for the maintenance of any child, adult offspring or disabled offspring made under Maintenance Act shall, except for the purpose of recovering money previously due under such order, be of any force or validity after the person in respect of whom the order is made ceases to be a child, adult offspring or disabled offspring, as the case may be, within the meaning of Maintenance Act.",Maintenance,"Any maintenance allowance order for a child, adult offspring, or disabled offspring under this Act becomes invalid once the individual in question no longer qualifies as a child, adult offspring, or disabled offspring according to the Act's definitions. The order retains force only for the purpose of recovering previously owed money under the order.",,,,,,,,,,,,,,,,,,,,,,
3,"An application for maintenance may be made:
(a) where such application is for the maintenance of a child or disabled offspring, by such child or disabled offspring or by any person who has custody of such child or disabled offspring 
(b) where such application is for the maintenance of an adult offspring, by such adult offspring or where such adult offspring is incapable of making such application,by any person on his or her behalf and
(c) where such application is for the maintenance of a spouse, by such spouse or where such spouse is incapable of making such application, by any person on his or her behalf.",Maintenance,"A child or disabled offspring, along with the person having custody, can apply for maintenance. For an adult offspring, the individual themselves or a representative on their behalf may make the application. Similarly, a spouse can apply for maintenance, and if the spouse is unable to do so, a representative can submit the application on their behalf.",,,,,,,,,,,,,,,,,,,,,,
4,"An application for maintenance may be made to the Magistrates Court within whose jurisdiction the applicant or the person in respect of whom the application is made or the person against whom such application is made, resides.",Maintenance,"Applications for maintenance must be submitted to the Magistrates Court within the jurisdiction where either the applicant, the person the application concerns, or the person against whom the application is filed resides.",,,,,,,,,,,,,,,,,,,,,,
5,"(1) Where any person against whom neglects to comply with such order, the Magistrate may, for every breach of the order, sentence such respondent for the whole or any part of each month's allowance in default, to simple or rigorous imprisonment for a term which may extend to one month.
(2) The Magistrate may, if an application is made in that behalf by any person entitled to receive any payment under an order of maintenance, before passing a sentence of imprisonment on the respondent, issue a warrant directing the amount in default to be levied in the manner provided by law for levying fines imposed by Magistrates in the Magistrate Courts.",Maintenance,"The consequences for non-compliance with a maintenance order. If a person neglects to comply with the order, the Magistrate may, for each breach, sentence the respondent to simple or rigorous imprisonment for a term, with a maximum extension of one month. Additionally, if an entitled person requests it, the Magistrate may issue a warrant to levy the amount in default, following the procedures for levying fines imposed by Magistrates in Magistrate Courts.",,,,,,,,,,,,,,,,,,,,,,
6,"(1) If on the application of a person entitled to receive any payment under an order of maintenance, it appears to the Magistrate that the respondent has defaulted in the payment of maintenance due for a period exceeding two months, the Magistrate may, after inquiry, by an order,(hereinafter referred ""to as an attachment of salary order) require the person to whom the order is directed, being a person appearing to the Magistrate to be the respondent's employer, to deduct, for such period as may be specified in the order, such amount from the respondent's salary as may be specified in the order and forthwith to remit that amount to the applicant in the manner directed by Court.
(2) (a) Before an order is made under subsection (1) of this section, the Magistrate shall notice the person on whom he proposes to serve such order, to show cause, if any, why an order should not be made under that subsection, and to require him to furnish to the court, within such period as may be specified in such order, the salary particulars of the respondent. Any order made under subsection (1) of this section may be the subject of an appeal to a High Court established by Article 154P of the Constitution by any person aggrieved by such order, but not withstanding such appeal, the Magistrate may decide to continue proceedings under Maintenance Act. The provisions of section 14 of Maintenance Act shall apply to, and in relation to, every such appeal.
(b) The Magistrate may also by an order served on the respondent, require him to furnish to the Court within such period as may be specified in such order, a statement specifying:
(i) the name and address of his employer or employers as the case may be, if he has more than one employer
(ii)such particulars as to his salary, inclusive of deductions, as may be within his knowledge and 
(iii) any other particulars as are required or necessary to enable his employer or employers to identify him.
(3) A statement furnished in compliance with an order made under paragraph (b) of subsection (2) shall, in any proceedings of any court, be received as evidence and be deemed to be prima facie proof of the particulars referred to in the said paragraph, unless the contrary is shown.
(4) The Magistrate shall not make an attachment of salary order, if it appears to him, that the failure of the respondent to make any payment in accordance with the order of maintenance in question, was not due to his willful refusal or culpable neglect.
(5) In determining the amount to be deducted from the respondent's salary in terms of subsection (1) of this section, the Magistrate shall have regard to the resources and needs of the respondent, and the needs of the person, the payment of whose maintenance is in default.
(6) An attachment of salary order shall not come into force until the expiration of fourteen days from the date on which a copy of the order is served on the person to whom the order is directed.
(7) An attachment of salary order may on the application of the respondent or the person entitled to receive payment under the order of maintenance, be discharged or varied.
(8) A person to whom an attachment of salary order is directed shall be subject to the provisions of this Maintenance Act, comply with the order or, if the order is subsequently varied under subsection (7), with the order as varied.
(9) Where, on any occasion on which any deductions have to be made from the salary of a respondent in pursuance of an attachment of salary order, there are in force, two or more orders for attachment of salary, relating to such salary, made under Maintenance Act or other written law, then , for the purposes of complying with this section, the employer shall, notwithstanding anything to the contrary in any other written law, first give effect to an order of attachment made under Maintenance Act and deal with any other order in respect of the residue of the respondent's salary according to the respective dates on which they came into force. 
(10) An employer who in pursuance of an attachment of salary order makes any payment shall forthwith give to the respondent a statement in writing specifying the amount deducted from his salary in pursuance of such order.
(11) Any employer who fails or neglects to comply with an attachment of salary order shall be liable on conviction by a Magistrate's Court to a fine not exceeding five hundred rupees and in the case of a second or subsequent conviction in respect of the same attachment of salary order, to a fine not exceeding one thousand rupees provided. however, it shall be a defense for an employer charged with failing or neglecting to comply with an attachment of salary order, to prove that he took all reasonable steps to comply with such order.
(12) The provisions of this section shall, notwithstanding anything to the contrary in any other written law, have effect in relation to an attachment of salary that may be made by a Magistrate under Maintenance Act.
(13) For the purposes of this section:
(a) where the respondent is a public officer or an officer of a provincial public service, the head of the department to which he is for the time being attached shall be deemed to be his employer 
(b) where the respondent is a member of the Local Government Service and employed in any local authority, the Commissioner if it be a Municipal Council or the Chairman if it be an Urban Council or a “Pradeshiya Sabha”, as the case may be, shall be deemed to be his employer 
(c) where the respondent is a person employed in any Corporation, Statutory Board or Company, the principal officer of such Corporation, Statutory Board or Company, as the case may be, shall be deemed to be his employer 
(d) where the respondent is a person employed in any partnership, the Managing partner or the Manager of such partnership shall be deemed to be his employer and 
(e) where the respondent is a member of the armed forces, the commander of the unit to which he is attached shall be deemed to be his employer.",Maintenance,"The process for issuing an ""attachment of salary order"" by a Magistrate in cases of default in maintenance payments. If the respondent defaults for more than two months, the Magistrate, after inquiry, may order the respondent's employer to deduct a specified amount from the respondent's salary and remit it to the applicant. The Magistrate may issue the order after giving notice and considering the respondent's salary particulars. The order can be appealed, and the employer must comply with the order or its variations. The employer faces penalties for non-compliance. The section applies to attachments of salary made by a Magistrate under this Act and specifies deemed employers for various employment situations.",,,,,,,,,,,,,,,,,,,,,,
7,"(1) Where an order for maintenance is made under the provisions of Maintenance Act, the Magistrate may direct the respondent, that the amount of the payment due under such order, shall be deposited each month on or before such date as may be specified in such order in favor of the person entitled to such payment, at such post office or a bank as maybe specified in such order, and the amount so deposited may be drawn by such person from such post office or bank. It shall be the duty of such officer for the time being in charge of such post office or bank to pay that amount to the person entitled thereto upon application made on that behalf.
(2) Where a direction has been made under subsection (1) of this section and there has been default in the deposit of payments as specified in such direction, the person entitled to receive payment may report such default to the Court, and the Magistrate may in such event, notice the respondent to show cause why he should not be dealt with for such default, and if satisfied after due inquiry that there has been any default, impose such punishment as is provided for by Maintenance Act for such default.",Maintenance,"The law empowers the Magistrate to direct a respondent, under a maintenance order, to deposit the payment each month at a specified post office or bank for the person entitled to receive it. The recipient can then withdraw the amount from the designated post office or bank. If there is a default in the deposit as per the direction, the person entitled to receive the payment can report it to the Court. The Magistrate, after due inquiry, may then notice the respondent to show cause for the default and, if satisfied, impose punishment as provided by the Act for such instances of default.",,,,,,,,,,,,,,,,,,,,,,
8,"On the application of any person receiving or ordered to pay a monthly allowance under the provisions of Maintenance Act and on proof of a change in the circumstances of any person for whose benefit or against whom an order for maintenance has been made under Maintenance Act, the Magistrate may either cancel such order or make such alteration in the allowance ordered as he deems fit.
Provided that such cancellation or alteration shall take effect from the date on which the application for cancellation or alteration was made to such Court, unless the Magistrate for good reasons to be recorded, orders otherwise.",Maintenance,"The law allows a person receiving or ordered to pay a monthly allowance under the Act to apply for a cancellation or alteration of the maintenance order based on a change in circumstances. The Magistrate, upon proof of such change, has the authority to either cancel the order or make alterations to the allowance as deemed appropriate. The cancellation or alteration takes effect from the date of the application unless the Magistrate, with recorded good reasons, orders otherwise.





",,,,,,,,,,,,,,,,,,,,,,
9,"A copy of the order of maintenance certified under the hand of the Magistrate shall be given without payment to the person in whose favor it is made, or to his or her guardian or a person having actual custody of such person,
if any, or to the person to whom the allowance is to be paid, and the Court making such order or any Magistrate having jurisdiction over the place where any such person or the respondent may be, shall, on the production of such order and on being satisfied as to the identity of the parties and the non-payment of the allowance due, proceed under section 5 or section 6.
Application for cancellation of order or alteration in amount of allowance.",Maintenance,"The law mandates that a certified copy of a maintenance order, issued by the Magistrate, shall be provided without charge to the person in whose favor it is made, their guardian, or the person having actual custody of them. The court or any Magistrate with jurisdiction over the relevant location, upon the presentation of the order and confirmation of the parties' identity and non-payment of the due allowance, is authorized to take action, which likely involves legal proceedings related to the maintenance order.",,,,,,,,,,,,,,,,,,,,,,
10,"Every application for an order of maintenance or to enforce such an order, shall be in writing and shall be signed by the applicant or the person making the application on his behalf and shall be free of any stamp duty. Every summons to a respondent or a witness shall also be free of stamp duty.",Maintenance,"Every application for a maintenance order or to enforce such an order must be in writing, signed by the applicant or their representative, and exempt from stamp duty. Additionally, summonses issued to respondents or witnesses in relation to such applications are also exempt from stamp duty.",,,,,,,,,,,,,,,,,,,,,,
