Queries,Ground Truth label,Highest Similarity Value,Unnamed: 3
"What are the legal provisions regarding the maintenance of spouses, children, adult offspring, and disabled offspring as outlined in the Sicario statute?",1,0.4869798997697957,
"What are the legal provisions and procedures for obtaining maintenance orders for spouses, children, adult offspring, and disabled offspring in cases of neglect or refusal by a parent or spouse, including the criteria considered by the Magistrate in determining the monthly allowance, and the conditions under which such orders may be granted or denied, as well as any provisions regarding the establishment of parentage for non-marital children or adult offspring?",1,0.5593079817226588,
"What are the legal ramifications and limitations regarding maintenance orders for children, adult offspring, or disabled offspring under the Maintenance Act once the individual for whom the order is made no longer meets the criteria of being a child, adult offspring, or disabled offspring as defined by the Maintenance Act?",1,0.622850428764578,
"Under what circumstances can an application for maintenance be initiated according to the Maintenance Act, distinguishing between applications for children, adult offspring, disabled offspring, and spouses, and specifying who is eligible to submit such applications on behalf of the respective individuals?",1,0.5130761731582445,
"In accordance with the provisions of the Maintenance Act, where should an application for maintenance be submitted, and what are the determining factors for the jurisdiction of the Magistrates Court in handling such applications, taking into consideration the residence of the applicant, the person in question, and the respondent?",1,0.4591154113712731,
"What are the potential consequences for a person who fails to comply with a maintenance order, as outlined in the Maintenance Act, including the possibility of imprisonment as stipulated by the Magistrate, and what measures can be taken by the entitled party to enforce payment before resorting to imprisonment, as per the provisions allowing the issuance of a warrant for levying the outstanding amount?",1,0.5444410909511342,
"What are the procedures and regulations outlined in the Maintenance Act regarding the attachment of salary orders, including the circumstances under which such orders can be issued, the requirements for notifying the respondent and their employer, the considerations taken into account by the Magistrate when determining the amount to be deducted, the timeline for the order to come into effect, the provisions for variation or discharge of the order, the responsibilities of the employer, the consequences of non-compliance, and the definitions of ""employer"" for various employment contexts as specified within the Act?",1,0.5770351204326867,
"What are the provisions outlined in the Maintenance Act regarding the method of payment for maintenance orders, including the authority of the Magistrate to direct the respondent to deposit the payment amount each month at a specified post office or bank, the obligations of the officer in charge of such institution to facilitate the disbursement of payments, the repercussions for defaulting on such payments, and the procedures for addressing defaults as outlined in the Act?",1,0.7035292345541502,
"What are the procedures outlined in the legal framework for modifying or revoking a maintenance order, as stipulated by the relevant provisions, taking into account changes in the circumstances of either the recipient or the payer of the allowance, including the authority granted to the Magistrate to either cancel the order entirely or adjust the allowance amount, and the effective date of such cancellation or alteration as specified in the Maintenance Act, subject to the discretion of the Magistrate?",1,0.5720606887982117,
"What are the procedures outlined in the Maintenance Act regarding the provision of certified copies of maintenance orders by the Magistrate to the beneficiary or their guardian, or to the person designated to receive the allowance, and what actions can be taken by the concerned parties or the relevant Magistrate upon the presentation of such certified order, including the initiation of proceedings for cancellation or alteration of the allowance amount as provided for in the Act?",1,0.5700690420747136,
"How can a certified copy of a maintenance order be obtained, as specified by the relevant procedures, and what actions can be taken by the concerned parties or the court upon presentation of such copy, including the potential recourse for non-payment of the allowance due, as outlined in the provisions regarding cancellation or alteration of the order?",1,0.49500420520428323,
"What are the requirements outlined for submitting an application for a maintenance order or to enforce an existing order, as stipulated by the relevant regulations, including the necessity for the application to be in writing, signed by the applicant or their representative, and exempt from stamp duty, as well as the provision for summons issued to respondents or witnesses to also be free of stamp duty?",1,0.6564466336681759,
"What are the procedural requirements for submitting an application for a maintenance order or to enforce an existing order, as specified by the relevant regulations, including the necessity for the application to be supported by an affidavit stating the relevant facts, the issuance of a summons to the respondent along with a copy of the affidavit to appear before the Magistrate, the provision for the Magistrate to make an interim order for payment of monthly allowance pending a final decision on the application, and the discretion of the Magistrate to allow or refuse the application after conducting necessary inquiries, as well as the caveat that an application shall not be rejected due to errors, omissions, or irregularities unless they have caused material prejudice to a party?",1,0.6645950095657837,
"How does the Magistrate have the authority to ensure the presence of the individual against whom a maintenance application is filed, as well as any necessary witnesses or documents, as outlined in the relevant provisions referencing Chapters V and VI of the Code of Criminal Procedure Act, No. 15 of 1979, and what procedures are to be followed in cases where the respondent is absent, as per the stipulations of section 192 of the Code of Criminal Procedure Act?",1,0.6918962212740799,
"What are the procedures for recording evidence in proceedings conducted by a Magistrate under the Maintenance Act, including the requirement for the presence of the respondent or their attorney-at-law during the evidence-taking process, the manner in which evidence is to be recorded consistent with the standards of trials in the Magistrates Court, and the exceptions to the usual procedures outlined in the Code of Criminal Procedure Act, No. 15 of 1979 regarding the framing of charges and recording of statements? Additionally, what provisions are made regarding the competency of the respondent to provide evidence and the ability of spouses to testify against each other in such proceedings?",1,0.5410714834288896,
"How can a person who is dissatisfied with an order made by a Magistrate under specific sections of the law appeal to the relevant higher court, and what procedural requirements apply to such appeals, including the application of certain sections of the Code of Criminal Procedure Act, the conditions under which the order may be stayed pending appeal, and the subsequent avenue for further appeal to the Supreme Court on questions of law with the requisite permissions?",1,0.6817677860878499,
"What are the prescribed forms outlined in the Schedule to the relevant legislation, to be utilized for various purposes as specified within the Maintenance Act, and how can these forms be adapted as necessary to suit the particular circumstances of a given case?",1,0.47091822511076764,
"What are the provisions regarding the payment of costs associated with the disposal of applications or appeals under the Maintenance Act, including the authority of the court to order either party to bear the costs in full or in part, the manner in which such costs are recoverable, and the potential consequences for defaulting on payment, as outlined within the Act?",1,0.5477097229625806,
"What is the provision within the Maintenance Act regarding the right of individuals, including children, adult offspring, disabled offspring, spouses, or parents, to pursue a civil action for maintenance, and how does this provision ensure that such individuals retain their legal rights despite the regulations outlined in the Act?",1,0.5904200535887558,
"What provisions are made regarding the utilization of forms specified in the Schedule to the Maintenance Act, and how do these forms accommodate variations to suit specific circumstances?",1,0.4565329415972944,
"What changes have been made to the Married Women Property Ordinance, specifically regarding the repeal of sections 26 and 27, and how do these amendments impact the overall provisions of the Ordinance?",1,0.6706595410324325,
"What the changes made to the Married Women Property Ordinance. Specifically, discuss the impact of repealing sections of that Ordinance and how this amendment modifies the existing legal framework concerning the property rights of married women.",1,0.5525235573988827,
"How is the maintenance ordinance repealed? how orders made under the Maintenance Ordinance, pending on the day preceding the commencement of the new Act, will be regarded and enforced under the new legislative framework.",1,0.5514649753376148,
"Considering the language provisions in the maintenance act, what is the solution in case of any inconsistency between the Sinhala and Tamil texts of the Act. Clarify which text will prevail in such circumstances and the implications of this provision for the interpretation and application of the law.",1,0.712191528363849,
"Define the terms ""adopted,"" ""adult offspring,"" ""child,"" and ""disabled offspring"" as outlined in the Act. Clarify the distinctions between ""marital"" and ""non-marital"" in relation to a child or offspring. Elaborate on the inclusive definition of ""parent,"" particularly highlighting the incorporation of adoptive parents. Lastly, discuss the broad interpretation of the term ""salary"" under the Act and its coverage, encompassing allowances and wages.",1,0.5205219214249509,
"In a recent criminal case, a victim of a sexual offense is struggling with emotional distress and wishes to exercise the rights outlined in the law. The victim is particularly concerned about ensuring a fair and respectful treatment throughout the legal process. What are the steps the victim can take to enforce their rights, as listed in the law, especially considering the sensitive nature of the case. How does the legal framework address the victim's right to prompt, adequate, and fair redress, and what measures are in place to protect the victim from potential threats or intimidation during the proceedings? Additionally, discuss the significance of treating child victims and female victims requiring medical examination in a manner that ensures their best interests and respects their dignity and privacy.",1,0.6397023340211777,
"In a recent case involving a sexual offense, a female victim feels uncomfortable with the idea of being examined by a male medical professional. The victim is aware of her right to request a female medical professional under the law. However, she is unsure about the process and how the State ensures the fulfillment of such requests. Explain the steps the victim should take to make the request for a female medical professional. How does the law ensure that the State makes all endeavors to fulfill the victim's request, and what measures are in place to address such preferences in the context of the medical examination? Additionally, discuss the significance of this provision in promoting the well-being and comfort of victims in sensitive situations.",1,0.5349205459287232,
"Explain the information that a victim of crime can request, including details on measures of protection, legal remedies, and timeframes for legal action. Additionally, elaborate on the role of the Authority or Protection Division in providing information about medical services, social services, and other assistance available for the treatment of harm caused to the victim of crime, along with the availability of related facilities.",1,0.6040281860596375,
"In a recent criminal case, a victim of a serious offense feels compelled to actively participate in the legal process and express the impact of the crime on their life. The victim is uncertain about the steps they can take to exercise their rights under the law. Describe the process the victim can follow to make a complaint, especially focusing on the recording and investigation of the complaint according to the law. Additionally, explain the rights of the victim during ongoing investigations, including their ability to make representations in person or through an attorney. How can the victim submit a statement, and what role does the Authority play in providing relevant information and assistance to facilitate the victim's participation in the legal proceedings?",1,0.6524958684502875,
"Discuss the rights conferred upon a victim of crime regarding information disclosure under the specified circumstances outlined in the law. Explain the role of the officer-in-charge of the relevant police station and other authorities involved in the investigation or inquiry process. Elaborate on the information a victim of crime is entitled to, including the progress of the investigation, dates fixed for case hearings, and details related to judicial proceedings. Highlight the provisions for notifying the victim about critical events such as release on bail, institution of criminal proceedings, convictions, acquittals, sentences, and release from prison.",1,0.5742233975999366,
"In a recent criminal case, a victim of a serious offense has been closely following the legal proceedings. The accused, who was initially detained, has now been released on bail. However, the victim is concerned about the terms of the release and wishes to obtain a copy of the court's order regarding the release. According to the law, the victim is required to submit a request to the Registrar of the court in the prescribed form along with the prescribed fee. Describe the steps the victim should take to make the request, including any specific information or documentation that might be required. Additionally, explain the timeframe within which the Registrar of the court is obligated to proceed with the request and provide the victim with the requested information, based on the relevant provisions outlined in the law.",1,0.712187745055032,
"Identify the responsible authorities, including the President and the Governor of a Province, and their respective roles in notifying the Authority. Discuss the duties of the Secretary to the President and the Secretary to the Governor in informing the Authority about the potential grant of a pardon or remission. Explain the significance of the Authority's role in communicating the impact of the committed offense on the victim of crime in various aspects such as physical, emotional, psychological, financial, and professional well-being.",1,0.5557753299218171,
