utterance,response,feedback,confidence
hey,hello,1,0
hey,"hey
Hi there! How can I help you today?",1,0.183450788
hey,"hey
Hi there! How can I help you today?",1,0.183450788
hey,"hey
Hi there! How can I help you today?",1,0.183450788
hey,"hey
Hi there! How can I help you today?",1,0.183450788
hey,"hey
Hi there! How can I help you today?",1,0.183450788
what are the civil laws,"Here are the top 3 relevant laws and their summaries based on your query:

- **Law:** The provisions of Civil Law shall have effect notwithstanding anything to the contrary in any other written law and accordingly in the event of any inconsistency or conflict between the provisions of Civil Law and such other written law, the provisions of Civil Law shall prevail.
  **Summary:** The subject to the provisions of section 5 of Civil Law, every citizen possesses the right of access to information held by a public authority.

- **Law:** In the event of any inconsistency between the Sinhala and Tamil texts of Civil Law, the Sinhala text shall prevail in the Civil Proceedure Code.
  **Summary:** The supremacy of the provisions outlined in Civil Law, stating that they shall take precedence over any conflicting provisions in other written laws. In case of inconsistency or conflict between the Civil Law and any other written law, the provisions of Civil Law shall prevail.

- **Law:** Subject to the provisions of section 5 of Civil Law, every citizen shall have a right of access to information which is in the possession, custody or control of a public authority.
  **Summary:** In cases of inconsistency between the Sinhala and Tamil versions of Civil Law, the Sinhala text takes precedence in the Civil Procedure Code.",1,0.362070873
hey,"hey
Hi there! How can I help you today?",1,0.183450788
hey,"hey
Hi there! How can I help you today?",1,0.17733568
what are the traffic laws,"Here are the top 3 relevant laws and their summaries based on your query:

- **Law:** A traffic sign consisting of a line or mark on a road, for conveying to traffic on roads, a warning, a requirement or information.
  **Summary:** When any entity, government department, corporation, statutory body, board, contractor, or their agent (referred to as a ""Promoter"") conducts work on, in, along, or above a road, causing potential traffic obstruction, movement restriction, or posing a hazard to road users, they are obligated to provide necessary Traffic Signs for safety and traffic facilitation. This responsibility is applicable during the period when such situations exist. The Promoter must adhere to the regulations, obtain approval from the Competent Authority responsible for road administration, and follow any given directions from the Competent Authority.

- **Law:** (1) Police Officers on traffic duty may use Traffic Control Devices or Arm Signals for the purpose of conveying to traffic on a specified road, a requirement or a warning that must be followed by the drivers of vehicles thereon.
(2) Traffic Control Signals given by direction indicator signals are used to indicate to other road users the intention of a driver to make certain maneuvers.
  **Summary:** A traffic sign can be a line or mark on a road used to communicate warnings, requirements, or information to road users.

- **Law:** Where an Authority, a Government Department, Corporation or any Statutory Body, Board or Contractor or an Agent of any one of such persons or any other person (hereinafter referred to as a ""Promoter"") carries out any work on, in or along a road or over and above a road, which may cause or causes obstruction to traffic, or which may restrict movement of traffic, or may constitute a potential hazard or danger to users of the road, requiring provision of Traffic Signs in the interests of safety of road users and to facilitate the movement of traffic along such road as specified in these regulations, notwithstanding anything contained in the other provisions, the necessary signs shall be provided by such a Promoter, inconformity with provisions of these Regulations and with the approval of the Competent Authority and subject to any directions given by him, during a period of time such a situation exists. For the purpose of this Regulation, the Competent Authority shall mean the Competent Authority responsible for the administration of such roads.
  **Summary:** Police Officers on traffic duty have the authority to use Traffic Control Devices or Arm Signals to convey requirements or warnings to traffic on a specified road, which drivers must follow. Additionally, direction indicator signals are employed by drivers to inform other road users of their intention to make specific maneuvers.",1,0.518185454
